STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,PARTY
Johor,P.143,Pagoh,Pakatan Harapan (PH)
Johor,P.144,Ledang,Pakatan Harapan (PH)
Johor,P.145,Bakri,Pakatan Harapan (PH)
Johor,P.146,Muar,Pakatan Harapan (PH)
Johor,P.147,Parit Sulong,Barisan Nasional (BN)
Johor,P.148,Ayer Hitam,Barisan Nasional (BN)
Johor,P.149,Sri Gading,Pakatan Harapan (PH)
Johor,P.150,Batu Pahat,Pakatan Harapan (PH)
Johor,P.151,Simpang Renggam,Pakatan Harapan (PH)
Johor,P.152,Kluang,Pakatan Harapan (PH)
Johor,P.153,Sembrong,Barisan Nasional (BN)
Johor,P.154,Mersing,Barisan Nasional (BN)
Johor,P.155,Tenggara,Barisan Nasional (BN)
Johor,P.156,Kota Tinggi,Barisan Nasional (BN)
Johor,P.157,Pengerang,Barisan Nasional (BN)
Johor,P.158,Tebrau,Pakatan Harapan (PH)
Johor,P.159,Pasir Gudang,Pakatan Harapan (PH)
Johor,P.160,Johor Bahru,Pakatan Harapan (PH)
Johor,P.161,Pulai,Pakatan Harapan (PH)
Johor,P.162,Iskandar Puteri,Pakatan Harapan (PH)
Johor,P.163,Kulai,Pakatan Harapan (PH)
Johor,P.164,Pontian,Barisan Nasional (BN)
Johor,P.165,Tanjung Piai,Pakatan Harapan (PH)
Wilayah Persekutuan Labuan,P.166,Labuan,Barisan Nasional (BN)
Sabah,P.167,Kudat,Barisan Nasional (BN)
Sabah,P.168,Kota Marudu,Barisan Nasional (BN)
Sabah,P.169,Kota Belud,Warisan
Sabah,P.170,Tuaran,Barisan Nasional (BN)
Sabah,P.171,Sepanggar,Warisan
Sabah,P.172,Kota Kinabalu,Pakatan Harapan (PH)
Sabah,P.173,Putatan,Pakatan Harapan (PH)
Sabah,P.174,Penampang,Warisan
Sabah,P.175,Papar,Warisan
Sabah,P.176,Kimanis,Barisan Nasional (BN)
Sabah,P.177,Beaufort,Barisan Nasional (BN)
Sabah,P.178,Sipitang,Barisan Nasional (BN)
Sabah,P.179,Ranau,Pakatan Harapan (PH)
Sabah,P.180,Keningau,Sabah Star
Sabah,P.181,Tenom,Pakatan Harapan (PH)
Sabah,P.182,Pensiangan,Barisan Nasional (BN)
Sabah,P.183,Beluran,Barisan Nasional (BN)
Sabah,P.184,Libaran,Barisan Nasional (BN)
Sabah,P.185,Batu Sapi,Warisan
Sabah,P.186,Sandakan,Pakatan Harapan (PH)
Sabah,P.187,Kinabatangan,Barisan Nasional (BN)
Sabah,P.188,Silam,Warisan
Sabah,P.189,Semporna,Warisan
Sabah,P.190,Tawau,Pakatan Harapan (PH)
Sabah,P.191,Kalabakan,Warisan
Sarawak,P.192,Mas Gading,Pakatan Harapan (PH)
Sarawak,P.193,Santubong,Barisan Nasional (BN)
Sarawak,P.194,Petra Jaya,Barisan Nasional (BN)
Sarawak,P.195,Bandar Kuching,Pakatan Harapan (PH)
Sarawak,P.196,Stampin,Pakatan Harapan (PH)
Sarawak,P.197,Kota Samarahan,Barisan Nasional (BN)
Sarawak,P.198,Puncak Borneo,Pakatan Harapan (PH)
Sarawak,P.199,Serian,Barisan Nasional (BN)
Sarawak,P.200,Batang Sadong,Barisan Nasional (BN)
Sarawak,P.201,Batang Lupar,Barisan Nasional (BN)
Sarawak,P.202,Sri Aman,Barisan Nasional (BN)
Sarawak,P.203,Lubok Antu,Independent
Sarawak,P.204,Betong,Barisan Nasional (BN)
Sarawak,P.205,Saratok,Pakatan Harapan (PH)
Sarawak,P.206,Tanjong Manis,Barisan Nasional (BN)
Sarawak,P.207,Igan,Barisan Nasional (BN)
Sarawak,P.208,Sarikei,Pakatan Harapan (PH)
Sarawak,P.209,Julau,Independent
Sarawak,P.210,Kanowit,Barisan Nasional (BN)
Sarawak,P.211,Lanang,Pakatan Harapan (PH)
Sarawak,P.212,Sibu,Pakatan Harapan (PH)
Sarawak,P.213,Mukah,Barisan Nasional (BN)
Sarawak,P.214,Selangau,Pakatan Harapan (PH)
Sarawak,P.215,Kapit,Barisan Nasional (BN)
Sarawak,P.216,Hulu Rajang,Barisan Nasional (BN)
Sarawak,P.217,Bintulu,Barisan Nasional (BN)
Sarawak,P.218,Sibuti,Barisan Nasional (BN)
Sarawak,P.219,Miri,Pakatan Harapan (PH)
Sarawak,P.220,Baram,Barisan Nasional (BN)
Sarawak,P.221,Limbang,Barisan Nasional (BN)
Sarawak,P.222,Lawas,Barisan Nasional (BN)
