UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,WINNING PARTY, PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT,TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (1) CANDIDATE LOST DEPOSIT,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,GSABAH (2) CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,WARISAN CANDIDATE LOST DEPOSIT,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 1 CANDIDATE LOST DEPOSIT,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.021,Kelantan,P.021,Kota Bharu,6.12584,102.2399785,GS - PAS,PAS,,88708,5869,77.00,68306,648,689,66969,UMNO,FIKHRAN HAMSHI,MALE,32,16256,,PAN,HUSAM MUSA,MALE,59,22422,,PAS,DATO' TAKIYUDDIN,MALE,56,28291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.022,Kelantan,P.022,Pasir Mas,6.0080942,102.0925134,GS - PAS,PAS,,71222,13075,77.67,55319,536,1232,53551,UMNO,NOR AZMAWI @ BAWI,MALE,44,15005,,PPBM,CHE UJANG,MALE,,5093,LOST DEPOSIT,PAS,USTAZ FADHLI SHAARI,MALE,38,28080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CUP,DATO' DR. IBRAHIM BIN ALI,MALE,67,5373,LOST DEPOSIT,,,,,,
P.023,Kelantan,P.023,Rantau Panjang,6.0181186,101.9728195,GS - PAS,PAS,,66115,6150,75.08,49639,441,825,48373,UMNO,ABDULLAH BIN MAT YASIM,MALE,63,18431,,PAN,DR SHAH,MALE,46,5361,LOST DEPOSIT,PAS,KAK LAH,FEMALE,55,24581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,Kelantan,P.024,Kubang Kerian,6.0940366,102.2845137,GS - PAS,PAS,,82018,19369,79.09,64867,704,735,63428,UMNO,DATO' SRI MUHAMMAD ABD GHANI,MALE,,16251,,PAN,DATO DR HALIM,MALE,58,11557,,PAS,USTAZ TUAN IBRAHIM,MALE,58,35620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,Kelantan,P.025,Bachok,6.0616322,102.4008505,GS - PAS,PAS,,92606,3292,82.01,75945,833,1148,73964,UMNO,DATUK AWANG,MALE,63,32896,,PPBM,HJ ZUL,MALE,,4880,LOST DEPOSIT,PAS,USTAZ NIK ABDUH,MALE,48,36188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026,Kelantan,P.026,Ketereh,5.9588765,102.251282,BN - UMNO,Barisan Nasional (BN),,65238,4626,83.39,54404,516,781,53107,UMNO,TAN SRI ANNUAR MUSA,MALE,62,25467,,PPBM,DR RADZI JIDIN,MALE,41,6799,,PAS,USTAZ WAN,MALE,63,20841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,Kelantan,P.027,Tanah Merah,5.7663046,102.0341478,BN - UMNO,Barisan Nasional (BN),,73172,2929,81.45,59598,490,986,58122,UMNO,DATO' SRI HJ IKMAL HISHAM BIN ABDUL AZIZ,MALE,53,28152,,PKR,DR FAUZI,MALE,57,4747,LOST DEPOSIT,PAS,DATO' DR JOHARI MAT,MALE,62,25223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028,Kelantan,P.028,Pasir Puteh,5.8346168,102.3829644,GS - PAS,PAS,,85411,1360,81.66,69745,672,923,68150,UMNO,DR. ASYRAF WAJDI DUSUKI,MALE,42,30947,,PPBM,DATUK KAMARUDIN (ABE DIN),MALE,70,4896,LOST DEPOSIT,PAS,USTAZ DR. NIK ZAWAWI,MALE,51,32307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029,Kelantan,P.029,Machang,5.7641131,102.214217,BN - UMNO,Barisan Nasional (BN),,68387,2824,82.35,56320,496,801,55023,UMNO,DATUK JAZLAN,MALE,54,26076,,PPBM,DATO' SAZMI,MALE,54,5695,LOST DEPOSIT,PAS,ZULKIFLI MAMAT,MALE,,23252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,Kelantan,P.030,Jeli,5.6955226,101.8449367,BN - UMNO,Barisan Nasional (BN),,47470,6647,83.48,39627,466,400,38761,UMNO,DATO' PA,MALE,68,21665,,PPBM,AZRAN BIN DERAMAN,MALE,36,2078,LOST DEPOSIT,PAS,CIKGU MAT,MALE,,15018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,Kelantan,P.031,Kuala Krai,5.5311582,102.1993666,GS - PAS,PAS,,70348,7992,80.00,56278,430,861,54987,UMNO,DATO RAMZI,MALE,60,20911,,PAN,DR IR YAZID,MALE,61,5173,LOST DEPOSIT,PAS,USTAZ LATIFF,MALE,47,28903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,Kelantan,P.032,Gua Musang,4.8792724,101.9652332,BN - UMNO,Barisan Nasional (BN),,52524,3913,78.45,41206,322,948,39936,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,81,19426,,PPBM,ABE NOR,MALE,,4997,,PAS,USTAZ ABDULLAH,MALE,,15513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,Terengganu,P.033,Besut,5.5833333,102.5,BN - UMNO,Barisan Nasional (BN),,86627,4599,83.49,72323,485,903,70935,UMNO,IDRIS JUSOH,MALE,63,34335,,PPBM,DATO IR'. HAJI WAN NAZARI,MALE,,6864,LOST DEPOSIT,PAS,DR USTAZ RIDUAN MOHMAD NOR,MALE,47,29736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,Terengganu,P.034,Setiu,5.5500806,102.7355111,GS - PAS,PAS,,86247,2802,85.42,73673,451,1244,71978,UMNO,DATO' HAJI MOHD JIDIN BIN SHAFEE,MALE,63,32218,,PPBM,DATO' DR MOHD FAUDZI BIN MUSA,MALE,,4740,LOST DEPOSIT,PAS,USTAZ ZUKIRNAIN AB KADIR,MALE,49,35020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,Terengganu,P.035,Kuala Nerus,5.3333333,103,GS - PAS,PAS,,83663,8447,87.51,73211,379,727,72105,UMNO,DR. TENGKU ASMADI,MALE,54,29527,,PAN,HAJI ABDULLAH,MALE,,4604,LOST DEPOSIT,PAS,USTAZ DATO' DR KHAIRUDDIN TAKIRI,MALE,45,37974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,Terengganu,P.036,Kuala Terengganu,5.3296461,103.1383265,GS - PAS,PAS,,103611,14773,84.73,87786,436,767,86583,UMNO,WAN NAWAWI BIN HAJI WAN ISMAIL,MALE,61,28215,,PAN,DATO RAJA BAHRIN,MALE,63,15380,,PAS,HAJI AMZAD HASHIM,MALE,48,42988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037,Terengganu,P.037,Marang,5.1666667,103.1666667,GS - PAS,PAS,,104898,21954,87.75,92046,336,1028,90682,UMNO,MOHAMAD NOR BIN ENDOT,MALE,58,31795,,PAN,ZARAWI BIN SULONG,MALE,56,5138,LOST DEPOSIT,PAS,TUAN GURU HAJI ABDUL HADI AWANG,MALE,71,53749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,Terengganu,P.038,Hulu Terengganu,4.910689,102.7650701,BN - UMNO,Barisan Nasional (BN),,73487,2868,86.31,63428,211,871,62346,UMNO,DATO' ROSOL BIN WAHID,MALE,54,30925,,PPBM,DATUK RAZALI IDRIS,MALE,52,3364,LOST DEPOSIT,PAS,HAJI MUHYIDIN ABDUL RASHID,MALE,,28057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,Terengganu,P.039,Dungun,4.7643972,103.4184463,GS - PAS,PAS,,90506,13119,84.75,76706,406,886,75414,UMNO,DATO DIN,MALE,57,27731,,PKR,HJ. ABD RAHMAN YUSOF,MALE,61,6833,LOST DEPOSIT,PAS,USTAZ WAN HASSAN MOHD RAMLI,MALE,61,40850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040,Terengganu,P.040,Kemaman,4.239674,103.1914299,GS - PAS,PAS,,107593,2163,85.51,92007,377,1126,90504,UMNO,AHMAD SHABERY CHEEK,MALE,60,37715,,PKR,MOHD. HUZAIFAH MD. SUHAIMI,MALE,,12911,,PAS,USTAZ ALIAS ABD HAMID,MALE,,39878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,Pulau Pinang,P.041,Kepala Batas,5.5143846,100.4362369,BN - UMNO,Barisan Nasional (BN),,60523,4736,87.78,53127,110,715,52302,UMNO,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,45,22459,,PAN,DR. ZAIDI BIN ZAKARIA,MALE,48,17723,,PAS,SITI MASTURA BINTI MUHAMMAD,FEMALE,29,12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,Pulau Pinang,P.042,Tasek Gelugor,5.4821102,100.4980002,BN - UMNO,Barisan Nasional (BN),,60850,81,86.92,52890,297,689,51904,UMNO,DATUK SHABUDIN YAHAYA,MALE,52,18547,,PPBM,HJ MARZUKI BIN YAHYA,MALE,47,18466,,PAS,RIZAL HAFIZ BIN RUSLAN,MALE,42,14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043,Pulau Pinang,P.043,Bagan,5.4067343,100.3696461,PH - DAP,Pakatan Harapan (PH),,71583,43902,84.72,60642,92,463,60087,MCA,LEE BENG SENG,MALE,37,7751,,DAP,LIM GUAN ENG,MALE,57,51653,,,,,,,,,,,,,,,,,,,,,,,,,,MUP,KOAY XING BOON,MALE,36,181,LOST DEPOSIT,PCM,HUAN CHENG GUAN @ MEJAR HUAN,MALE,57,502,LOST DEPOSIT,,,,,,,,,,,,
P.044,Pulau Pinang,P.044,Permatang Pauh,5.410228,100.413226,PH - PKR,Pakatan Harapan (PH),,81789,15668,86.42,70686,200,658,69828,UMNO,MOHD ZAIDI MOHD SAID,MALE,49,19866,,PKR,NURUL IZZAH ANWAR,FEMALE,37,35534,,PAS,USTAZ AFNAN HAMMI B DATO’ TAIB AZAMUDDEN,MALE,36,14428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045,Pulau Pinang,P.045,Bukit Mertajam,5.3642519,100.4609867,PH - DAP,Pakatan Harapan (PH),,88998,52877,85.37,75977,177,1109,74691,MCA,GUI GUAT LYE,MALE,65,10907,,DAP,SIM CHEE KEONG,MALE,36,63784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,Pulau Pinang,P.046,Batu Kawan,5.2625962,100.4304555,PH - DAP,Pakatan Harapan (PH),,65394,33553,84.84,55479,99,675,54705,GERAKAN,JAYANTHI DEVI BALAGURU,FEMALE,56,9130,,DAP,KASTHURIRAANI PATTO,FEMALE,38,42683,,PAS,JAY KUMAR,MALE,38,2636,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PFP,OOI KHAR GIAP,MALE,50,256,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.047,Pulau Pinang,P.047,Nibong Tebal,5.1700963,100.4785191,PH - PKR,Pakatan Harapan (PH),,73383,15817,86.12,63199,160,860,62179,UMNO,DATO IR DR SHAIK HUSSEIN BIN MYDIN,MALE,44,19578,,PKR,DATO MANSOR OTHMAN,MALE,68,35395,,PAS,MOHD HELMI BIN HARUN,MALE,46,6875,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,TAN TEE BENG,MALE,46,331,LOST DEPOSIT,,,,,,
P.048,Pulau Pinang,P.048,Bukit Bendera,5.4245765,100.2689827,PH - DAP,Pakatan Harapan (PH),,75069,40731,80.50,60429,211,512,59706,GERAKAN,ANDY YONG KIM SENG,MALE,46,9318,,DAP,WONG HON WAI,MALE,45,50049,,,,,,,,,,,,,,,,,,,,,,,,,,MUP,TAN GIM THEAM,MALE,48,339,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
