UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.061,Perak,P.061,Padang Rengas,4.7777852,100.8576433,38686,77.87,14.82,6.75,0,0.08,0.06,0.43,99.89,0.01,0.11,0,5.11,19.18,22.12,16.95,14.8,12.26,6.35,2.68,0.56,49.52,50.48,SEMI URBAN
P.062,Perak,P.062,Sungai Siput,4.8188086,101.071298,72395,34.2,34.67,21.13,9.59,0.07,0.06,0.29,99.59,0,0.4,0,5.6,19.39,20.54,17.95,15.65,11.84,6.21,2.38,0.44,49.97,50.03,SEMI URBAN
P.063,Perak,P.063,Tambun,4.6112263,101.1400876,160558,64.63,20.49,12.48,0.99,0.29,0.41,0.71,97.04,0.01,1.62,1.33,6.9,23.24,22.74,16.81,13.6,10.48,4.71,1.3,0.22,49.54,50.46,URBAN
P.064,Perak,P.064,Ipoh Timor,4.5763317,101.1308762,118178,23.08,68.41,7.49,0.03,0.15,0.13,0.71,97.81,0.03,1.66,0.5,3.74,14.16,17.92,17.21,15.8,15.35,10.29,4.44,1.08,49.12,50.88,URBAN
P.065,Perak,P.065,Ipoh Barat,4.5954401,101.0622002,114654,13.15,59.11,26.96,0.04,0.08,0.1,0.56,99.24,0.01,0.26,0.49,4.29,16.62,18.35,17,16.23,14.42,8.76,3.43,0.89,48.99,51.01,URBAN
P.066,Perak,P.066,Batu Gajah,4.4598846,101.0492993,111896,12.65,69.09,17.59,0.1,0.08,0.06,0.43,99.47,0.01,0.5,0.02,5,17.84,17.76,18.39,16.78,13.32,7.6,2.84,0.48,50.54,49.46,URBAN
P.067,Perak,P.067,Kuala Kangsar,4.7720713,100.9408776,46985,70.35,21.02,6.57,1.17,0.1,0.07,0.73,99.28,0.01,0.71,0,5.35,19.67,21.86,17.32,14.17,12.01,6.28,2.71,0.62,49.36,50.64,SEMI URBAN
P.068,Perak,P.068,Beruas,4.5002829,100.7824056,108249,27.13,56.81,15.17,0.01,0.25,0.2,0.42,99.82,0.01,0.16,0,5.49,18.89,20.67,17.71,15.07,12.28,6.94,2.42,0.53,50.31,49.69,SEMI URBAN
P.069,Perak,P.069,Parit,4.4768608,100.9093896,47915,92.34,2,2.52,2.22,0.12,0.13,0.68,99.01,0,0.76,0.23,6.01,21.25,22.49,16.88,14.68,11.09,4.96,2.25,0.39,49.61,50.39,SEMI URBAN
P.070,Perak,P.070,Kampar,4.30066,101.1614462,89894,34.58,52.64,10.12,2.02,0.1,0.09,0.46,99.57,0.01,0.42,0,4.48,16.49,18.55,17.55,16.7,14.15,8.07,3.3,0.73,50.65,49.35,SEMI URBAN
P.071,Perak,P.071,Gopeng,4.476786,101.168079,143657,42.69,44.76,9.63,2.11,0.16,0.11,0.52,99.16,0.02,0.23,0.59,6.26,22.09,21,16.92,14.7,11.24,5.56,1.91,0.33,49.31,50.69,URBAN
P.072,Perak,P.072,Tapah,4.1990915,101.2599231,61946,45.53,24.48,13.9,14.88,0.15,0.14,0.92,97.34,0.01,1.59,1.06,5.23,19.99,22.61,16.74,14.36,11.82,6.18,2.48,0.58,50.27,49.73,RURAL
P.073,Perak,P.073,Pasir Salak,4.1731723,100.945408,74761,80.97,12.21,3.26,3.14,0.07,0.05,0.3,99.89,0.01,0.11,0,6.04,21.25,23.47,17.84,13.8,9.72,5.64,1.84,0.39,49.87,50.13,RURAL
