UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.208,Sarawak,P.208,Sarikei,2.1294846,111.5230586,55018,4.56,60.65,0.03,0.01,0.2,34.32,0.22,99.4,0,0.6,0,5.54,19.36,20.29,17.55,16.06,12.2,6.15,2.17,0.67,50.27,49.73,RURAL
P.209,Sarawak,P.209,Julau,1.8198041,111.8990022,34850,0.48,4.98,0.02,0.01,0.17,93.77,0.56,99.81,0,0.19,0,6.3,20.47,19.97,17.9,16.75,10.36,5.25,1.98,1.02,51.03,48.97,RURAL
P.210,Sarawak,P.210,Kanowit,1.9353301,112.2098575,30988,1.74,11.53,0.02,0,0.2,86.19,0.32,99.73,0,0.27,0,6.28,19.45,20.88,16.43,16.27,11.83,5.78,2.11,0.98,49.94,50.06,RURAL
P.211,Sarawak,P.211,Lanang,2.2397256,111.8478428,87356,4.23,64.96,0.05,0.01,0.45,30.07,0.23,98.02,0,0.82,1.16,5.99,21.08,19.8,17.21,15.1,12.11,6.09,1.99,0.63,49.33,50.67,URBAN
P.212,Sarawak,P.212,Sibu,2.2906434,111.8256158,105875,10.4,62.03,0.12,0.02,0.46,26.75,0.22,97.82,0.01,0.51,1.66,6.25,21.32,21.87,17.81,14.84,10.69,5.01,1.69,0.53,49.75,50.25,URBAN
P.213,Sarawak,P.213,Mukah,2.8118528,112.291206,46964,3.29,9.89,0.05,0,0.46,86.07,0.23,99.57,0,0.43,0,6.66,21.83,20.73,16.92,15.67,10.75,5.61,1.49,0.34,50.63,49.37,RURAL
P.214,Sarawak,P.214,Selangau,2.4955896,112.3524958,45743,1.01,3.78,0.02,0,0.27,94.5,0.43,99.81,0,0.19,0,7.52,21.74,20.72,17.6,15.34,9.75,4.7,1.77,0.85,50.61,49.39,RURAL
P.215,Sarawak,P.215,Kapit,2.0139027,112.9356766,45210,2.37,8.71,0.04,0,0.23,88.09,0.56,99.59,0,0.4,0,6.79,20.91,21.61,16.7,15.65,10,5.33,2.07,0.94,49.54,50.46,RURAL
P.216,Sarawak,P.216,Hulu Rajang,2.2907,114.849,43438,0.98,1.81,0.03,0.02,0.42,95.97,0.77,99.82,0,0.18,0,7.55,22.72,21.21,16.32,14.47,9.31,4.74,2.29,1.39,51.02,48.98,RURAL
P.217,Sarawak,P.217,Bintulu,3.1874261,113.0472803,113599,9.81,25.24,0.1,0,0.64,63.79,0.42,99.25,0,0.34,0.41,7.76,24.6,21.6,16.18,14.94,9.79,3.73,1.01,0.39,50.84,49.16,URBAN
P.218,Sarawak,P.218,Sibuti,4.5126609,114.0146618,58522,18.39,22.84,0.17,0,0.72,57,0.88,98.67,0.01,0.09,1.24,6.91,23.94,23.43,16.32,13.25,10.25,4.47,1.1,0.32,51.52,48.48,RURAL
P.219,Sarawak,P.219,Miri,4.392739,113.9880255,143229,16.78,46.38,0.32,0,0.79,35.13,0.6,99.27,0.01,0.73,0,6.74,22.56,21.75,16.65,14.37,11.17,4.82,1.46,0.47,49.87,50.13,URBAN
P.220,Sarawak,P.220,Baram,3.2022972,115.3967428,59535,4.52,7.44,0.04,0.04,0.34,86.59,1.04,99.87,0,0.13,0,6.34,19.13,19.55,16.69,16.36,12.01,5.43,2.68,1.8,51.69,48.31,RURAL
P.221,Sarawak,P.221,Limbang,4.3519985,115.0602417,41999,25.82,17.48,0.1,0,6.21,49.39,1.01,99.14,0,0.86,0,6.77,20.66,21.9,17.1,14.78,11.84,4.78,1.61,0.55,51.06,48.94,RURAL
P.222,Sarawak,P.222,Lawas,4.4551211,115.427188,33655,35.9,9.42,0.12,0.01,3.1,50.58,0.86,99.7,0,0.3,0,7.08,22.25,21.69,16.95,14.65,10.88,4.34,1.57,0.6,51.77,48.23,RURAL
