UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.021,Kelantan,P.021,Kota Bharu,6.12584,102.2399785,115450,84.33,13.75,0.76,0,0.06,0.06,1.04
P.022,Kelantan,P.022,Pasir Mas,6.0080942,102.0925134,94544,97.29,1.96,0.06,0,0.05,0.02,0.62
P.023,Kelantan,P.023,Rantau Panjang,6.0181186,101.9728195,93248,96.65,1.95,0.07,0,0.06,0.05,1.22
P.024,Kelantan,P.024,Kubang Kerian,6.0940366,102.2845137,113640,97.34,2,0.16,0,0.04,0.04,0.41
P.025,Kelantan,P.025,Bachok,6.0616322,102.4008505,123183,98.26,1.08,0.04,0.01,0.05,0.04,0.52
P.026,Kelantan,P.026,Ketereh,5.9588765,102.251282,85281,96.6,1.91,0.08,0.01,0.25,0.51,0.65
P.027,Kelantan,P.027,Tanah Merah,5.7663046,102.0341478,98782,94.32,4.11,0.49,0,0.06,0.05,0.97
P.028,Kelantan,P.028,Pasir Puteh,5.8346168,102.3829644,113070,98.04,0.89,0.04,0,0.05,0.04,0.94
P.029,Kelantan,P.029,Machang,5.7641131,102.214217,88825,96.34,3.09,0.16,0,0.05,0.06,0.29
P.030,Kelantan,P.030,Jeli,5.6955226,101.8449367,59798,97.72,0.18,0.12,0.79,0.36,0.26,0.58
P.031,Kelantan,P.031,Kuala Krai,5.5311582,102.1993666,92335,94.12,4.11,1.12,0.01,0.06,0.05,0.54
P.032,Kelantan,P.032,Gua Musang,4.8792724,101.9652332,70254,78.55,5.81,0.47,14.5,0.1,0.08,0.5
P.033,Terengganu,P.033,Besut,5.5833333,102.5,111650,97.97,1.3,0.09,0.02,0.09,0.07,0.45
P.034,Terengganu,P.034,Setiu,5.5500806,102.7355111,107294,99.23,0.28,0.04,0.01,0.09,0.06,0.3
P.035,Terengganu,P.035,Kuala Nerus,5.3333333,103,105952,98.38,1.05,0.09,0,0.1,0.06,0.32
P.036,Terengganu,P.036,Kuala Terengganu,5.3296461,103.1383265,123305,90.23,8.65,0.55,0,0.08,0.07,0.42
P.037,Terengganu,P.037,Marang,5.1666667,103.1666667,131756,97.53,1.87,0.08,0,0.06,0.06,0.39
P.038,Terengganu,P.038,Hulu Terengganu,4.910689,102.7650701,87917,98.82,0.43,0.04,0.31,0.06,0.05,0.29
P.039,Terengganu,P.039,Dungun,4.7643972,103.4184463,115559,95.71,3.16,0.19,0.01,0.13,0.09,0.72
P.040,Terengganu,P.040,Kemaman,4.239674,103.1914299,139423,93.17,5.06,0.53,0.23,0.11,0.16,0.74
P.041,Pulau Pinang,P.041,Kepala Batas,5.5143846,100.4362369,83081,79.9,15.5,4.17,0,0.09,0.07,0.26
P.042,Pulau Pinang,P.042,Tasek Gelugor,5.4821102,100.4980002,80868,77.93,15.08,6.35,0,0.16,0.15,0.31
P.043,Pulau Pinang,P.043,Bagan,5.4067343,100.3696461,89447,14.51,69.32,15.63,0,0.13,0.05,0.36
P.044,Pulau Pinang,P.044,Permatang Pauh,5.410228,100.413226,107186,73.12,19.46,6.6,0.01,0.17,0.09,0.55
P.045,Pulau Pinang,P.045,Bukit Mertajam,5.3642519,100.4609867,120819,21.16,67.38,10.87,0,0.12,0.05,0.41
P.046,Pulau Pinang,P.046,Batu Kawan,5.2625962,100.4304555,88812,22.82,54.05,22.27,0,0.2,0.07,0.58
P.047,Pulau Pinang,P.047,Nibong Tebal,5.1700963,100.4785191,100062,46.75,34.72,17.86,0.01,0.13,0.07,0.47
P.048,Pulau Pinang,P.048,Bukit Bendera,5.4245765,100.2689827,92521,15.07,71.12,12.04,0.01,0.22,0.15,1.39
P.049,Pulau Pinang,P.049,Tanjong,5.4647757,100.284463,52803,6.28,81.75,11.24,0,0.12,0.09,0.51
P.050,Pulau Pinang,P.050,Jelutong,5.3873462,100.3145585,93989,21.02,63.2,14.88,0,0.16,0.09,0.64
P.051,Pulau Pinang,P.051,Bukit Gelugor,5.3794182,100.3047639,117134,14.64,71.69,12.83,0,0.12,0.09,0.63
P.052,Pulau Pinang,P.052,Bayan Baru,5.3248811,100.285231,119640,38.77,47.85,12.18,0,0.3,0.19,0.71
P.053,Pulau Pinang,P.053,Balik Pulau,5.3506953,100.2348979,80264,65.23,29.05,4.83,0.01,0.24,0.14,0.5
P.054,Perak,P.054,Gerik,5.4306632,101.1296386,47565,66.84,13.51,3.03,12.05,0.63,0.74,3.2
P.055,Perak,P.055,Lenggong,5.1094869,100.9678905,36950,83.21,11.8,1.38,3.12,0.12,0.06,0.31
P.056,Perak,P.056,Larut,4.853766,100.7436053,65719,89.94,3.92,5.62,0.01,0.09,0.05,0.38
P.057,Perak,P.057,Parit Buntar,5.1300016,100.4893897,68502,68.43,25.88,5.1,0,0.07,0.04,0.48
P.058,Perak,P.058,Bagan Serai,5.0284508,100.5273516,80293,78.25,12.36,9.01,0.01,0.06,0.05,0.26
P.059,Perak,P.059,Bukit Gantang,4.7833333,100.76667,94253,71.25,19.14,9.04,0.01,0.1,0.08,0.38
P.060,Perak,P.060,Taiping,4.8546772,100.7438831,121566,39.67,44.38,14.45,0.03,0.29,0.54,0.64
P.061,Perak,P.061,Padang Rengas,4.7777852,100.8576433,38686,77.87,14.82,6.75,0,0.08,0.06,0.43
P.062,Perak,P.062,Sungai Siput,4.8188086,101.071298,72395,34.2,34.67,21.13,9.59,0.07,0.06,0.29
P.063,Perak,P.063,Tambun,4.6112263,101.1400876,160558,64.63,20.49,12.48,0.99,0.29,0.41,0.71
P.064,Perak,P.064,Ipoh Timor,4.5763317,101.1308762,118178,23.08,68.41,7.49,0.03,0.15,0.13,0.71
P.065,Perak,P.065,Ipoh Barat,4.5954401,101.0622002,114654,13.15,59.11,26.96,0.04,0.08,0.1,0.56
P.066,Perak,P.066,Batu Gajah,4.4598846,101.0492993,111896,12.65,69.09,17.59,0.1,0.08,0.06,0.43
P.067,Perak,P.067,Kuala Kangsar,4.7720713,100.9408776,46985,70.35,21.02,6.57,1.17,0.1,0.07,0.73
P.068,Perak,P.068,Beruas,4.5002829,100.7824056,108249,27.13,56.81,15.17,0.01,0.25,0.2,0.42
P.069,Perak,P.069,Parit,4.4768608,100.9093896,47915,92.34,2,2.52,2.22,0.12,0.13,0.68
P.070,Perak,P.070,Kampar,4.30066,101.1614462,89894,34.58,52.64,10.12,2.02,0.1,0.09,0.46
P.071,Perak,P.071,Gopeng,4.476786,101.168079,143657,42.69,44.76,9.63,2.11,0.16,0.11,0.52
P.072,Perak,P.072,Tapah,4.1990915,101.2599231,61946,45.53,24.48,13.9,14.88,0.15,0.14,0.92
P.073,Perak,P.073,Pasir Salak,4.1731723,100.945408,74761,80.97,12.21,3.26,3.14,0.07,0.05,0.3
P.074,Perak,P.074,Lumut,4.2246469,100.6211525,92972,72.2,14.13,11.36,0.03,1.07,0.63,0.59
P.075,Perak,P.075,Bagan Datuk,3.9166667,100.9166667,58183,56.44,20.44,21.6,0.01,0.31,0.07,1.13
P.076,Perak,P.076,Teluk Intan,4.023176,101.026184,87222,41.88,38.36,18.69,0.25,0.05,0.05,0.71
P.077,Perak,P.077,Tanjong Malim,3.6900079,101.5234848,93873,54.96,23.65,13,7.19,0.13,0.1,0.96
P.078,Pahang,P.078,Cameron Highlands,4.4781546,101.4833091,46020,30.97,27.15,12.19,28.71,0.28,0.11,0.59
P.079,Pahang,P.079,Lipis,4.3242506,101.9085845,47124,78.23,14.76,4.99,1.14,0.11,0.08,0.69
P.080,Pahang,P.080,Raub,3.7950465,101.8560075,75064,52.06,36.59,6.19,4.34,0.07,0.06,0.69
P.081,Pahang,P.081,Jerantut,4.2834137,102.5575232,87051,82.2,11.77,2.45,2.66,0.09,0.07,0.75
P.082,Pahang,P.082,Indera Mahkota,3.829399,103.2942076,120549,67.34,25.48,5.58,0.09,0.4,0.26,0.86
P.083,Pahang,P.083,Kuantan,3.7985637,103.32199,87597,69.03,26.3,3.22,0.22,0.17,0.13,0.92
P.084,Pahang,P.084,Paya Besar,3.7861754,103.233338,79744,83.96,11.06,1.92,1.56,0.1,0.12,1.28
P.085,Pahang,P.085,Pekan,3.4895509,103.390396,119443,84.96,1.79,0.7,9.39,0.35,0.53,2.28
P.086,Pahang,P.086,Maran,3.601443,102.6410048,53128,89.36,5.8,1.38,2.3,0.09,0.07,0.99
P.087,Pahang,P.087,Kuala Krau,3.709684,102.367585,60537,88.7,2.52,2.07,5.96,0.1,0.06,0.59
P.088,Pahang,P.088,Temerloh,3.6124468,102.2566818,106829,66.28,21.05,8.12,1.38,0.35,0.54,2.29
P.089,Pahang,P.089,Bentong,3.3624708,102.0172675,87058,49.25,37.99,9.09,2.65,0.16,0.17,0.68
P.090,Pahang,P.090,Bera,3.2366738,102.5417723,77669,62.04,27.82,3.66,5.18,0.27,0.32,0.71
P.091,Pahang,P.091,Rompin,2.8245772,103.0993556,89131,83.29,2.43,0.89,11.87,0.16,0.1,1.25
P.092,Selangor,P.092,Sabak Bernam,3.6871153,101.0580588,51609,81.32,13.05,4.88,0.01,0.1,0.09,0.56
P.093,Selangor,P.093,Sungai Besar,3.6777145,100.9880263,64382,67.33,29.33,2.1,0.01,0.21,0.09,0.93
P.094,Selangor,P.094,Hulu Selangor,3.5367441,101.5949347,154317,62.81,18.14,15.13,1.84,0.34,0.27,1.47
P.095,Selangor,P.095,Tanjong Karang,3.4248609,101.1765284,62194,73.15,17.2,8.23,0.01,0.1,0.05,1.26
P.096,Selangor,P.096,Kuala Selangor,3.3621022,101.3455503,102951,66.81,12.06,19.55,0.01,0.2,0.12,1.24
P.097,Selangor,P.097,Selayang,3.2537121,101.6539012,181539,51.59,26.3,17.9,0.26,0.42,0.28,3.24
P.098,Selangor,P.098,Gombak,3.3,101.7,206744,69.94,10.86,10.86,0.5,0.26,0.19,7.39
P.099,Selangor,P.099,Ampang,3.1505141,101.7600712,133494,51.4,32.44,9.68,0.01,0.44,0.29,5.74
P.100,Selangor,P.100,Pandan,3.1359876,101.7204333,148730,40.22,46.97,7.95,0.02,0.76,0.34,3.75
P.101,Selangor,P.101,Hulu Langat,3.083333,101.833333,166902,63.45,20.97,10.72,0.9,0.49,0.35,3.12
P.102,Selangor,P.102,Bangi,2.9040475,101.7863029,303430,48.43,36.96,11.19,0.01,0.61,0.4,2.39
P.103,Selangor,P.103,Puchong,3.0327,101.6188,152861,37.26,49.4,10.95,0.18,0.71,0.35,1.15
P.104,Selangor,P.104,Subang,3.0342324,101.6170345,230940,26.25,54.04,16.81,0.01,0.81,0.49,1.59
P.105,Selangor,P.105,Petaling Jaya,3.0988792,101.6454202,195148,46.15,29.56,20.73,0.01,0.66,0.35,2.53
P.106,Selangor,P.106,Damansara,3.1378819,101.5966801,239103,20.66,66.14,9.98,0.25,0.49,0.27,2.23
P.107,Selangor,P.107,Sungai Buloh,3.2061782,101.5800355,158090,62.62,20.7,10.44,0.07,0.78,0.48,4.9
P.108,Selangor,P.108,Shah Alam,3.0739429,101.5185278,165744,73.36,12.67,11.92,0.09,0.55,0.33,1.08
P.109,Selangor,P.109,Kapar,3.1377492,101.3732079,189369,68,15.26,14.21,0.06,0.51,0.17,1.79
P.110,Selangor,P.110,Klang,3.0448394,101.4447363,208913,26.65,52.77,18.25,0.1,0.71,0.22,1.3
P.111,Selangor,P.111,Kota Raja,3.0117686,101.5622842,244712,39.81,29.68,27.34,0.02,1.33,0.34,1.48
P.112,Selangor,P.112,Kuala Langat,2.8365619,101.4961821,148637,54.86,23.76,17.28,2.02,0.42,0.17,1.47
P.113,Selangor,P.113,Sepang,2.8008619,101.7094012,168039,62.92,19.15,13.14,2.12,0.71,0.4,1.55
P.114,Wilayah Persekutuan Kuala Lumpur,P.114,Kepong,3.2026423,101.6372464,94285,5.62,85.51,7.08,0.01,0.87,0.14,0.77
P.115,Wilayah Persekutuan Kuala Lumpur,P.115,Batu,3.2018234,101.6710223,113863,44.05,34.57,18.18,0.04,0.6,0.46,2.11
P.116,Wilayah Persekutuan Kuala Lumpur,P.116,Wangsa Maju,3.2057781,101.7318615,120323,57.71,28.51,9.11,0.05,0.61,0.63,3.38
P.117,Wilayah Persekutuan Kuala Lumpur,P.117,Segambut,3.1864418,101.6641964,119652,26.77,56.76,11.81,0.03,0.33,0.28,4.04
P.118,Wilayah Persekutuan Kuala Lumpur,P.118,Setiawangsa,3.1757346,101.7359468,95753,60.52,24.51,11.69,0.05,0.81,0.97,1.45
P.119,Wilayah Persekutuan Kuala Lumpur,P.119,Titiwangsa,3.1734326,101.6952622,80747,66.43,16.5,9.31,0.03,0.69,0.45,6.6
P.120,Wilayah Persekutuan Kuala Lumpur,P.120,Bukit Bintang,3.1460953,101.7114762,79782,13.05,71.6,12.41,0.02,0.91,0.4,1.62
P.121,Wilayah Persekutuan Kuala Lumpur,P.121,Lembah Pantai,3.101597,101.6688966,101828,59.09,19.14,17.18,0.04,1,0.63,2.92
P.122,Wilayah Persekutuan Kuala Lumpur,P.122,Seputeh,3.1136874,101.68142,124805,12.06,76.78,8.96,0.01,0.52,0.22,1.43
P.123,Wilayah Persekutuan Kuala Lumpur,P.123,Cheras,3.0991919,101.7374229,101184,13.44,77.09,7.77,0.01,0.56,0.23,0.9
P.124,Wilayah Persekutuan Kuala Lumpur,P.124,Bandar Tun Razak,3.089635,101.7124347,119185,61.99,26.94,8.77,0.02,0.7,0.6,0.98
P.125,Wilayah Persekutuan Putrajaya,P.125,Putrajaya,2.9384381,101.69223,42881,93.85,0.89,2.78,0.06,1.21,0.51,0.69
P.126,Negeri Sembilan,P.126,Jelebu,3.0366264,102.1179206,59561,65.12,23.33,5.49,5.22,0.15,0.09,0.6
P.127,Negeri Sembilan,P.127,Jempol,2.8502724,102.5081957,95813,63.63,22.01,12.74,0.89,0.1,0.08,0.55
P.128,Negeri Sembilan,P.128,Seremban,2.723099,101.9400601,157244,51.29,31.9,13.93,0.8,0.38,0.26,1.45
P.129,Negeri Sembilan,P.129,Kuala Pilah,2.7430758,102.2154881,63247,76.03,15.68,5.25,2.18,0.12,0.12,0.61
P.130,Negeri Sembilan,P.130,Rasah,2.7188285,101.9404831,155896,32.57,42.64,22.38,0.39,0.36,0.32,1.34
P.131,Negeri Sembilan,P.131,Rembau,2.5578923,102.1081637,133555,73.49,8.86,15.94,0.41,0.25,0.21,0.84
P.132,Negeri Sembilan,P.132,Port Dickson,2.5262491,101.8106156,104450,43.6,31.87,21.41,0.3,0.83,0.94,1.05
P.133,Negeri Sembilan,P.133,Tampin,2.4721537,102.2323504,81099,61.93,23.66,12.28,0.17,0.48,0.85,0.63
P.134,Melaka,P.134,Masjid Tanah,2.3522253,102.1089793,69174,81.95,11.74,3.64,0.43,0.23,0.18,1.82
P.135,Melaka,P.135,Alor Gajah,2.3834528,102.2107805,93311,61.39,23.78,13.07,0.74,0.17,0.15,0.7
P.136,Melaka,P.136,Tangga Batu,2.2601,102.1523,115998,69.28,22.29,3.65,0.06,1.45,1.57,1.7
P.137,Melaka,P.137,Hang Tuah Jaya,2.2714538,102.3079538,118493,61.73,30.62,6.04,0.01,0.31,0.2,1.09
P.138,Melaka,P.138,Kota Melaka,2.1994594,102.2602305,164140,38.98,54.17,4.46,0.01,0.24,0.18,1.96
P.139,Melaka,P.139,Jasin,2.3058097,102.422339,96208,73.29,15.5,10.12,0.14,0.09,0.09,0.77
P.140,Johor,P.140,Segamat,2.4922852,102.8450367,69360,46.7,42.64,9.32,0.17,0.19,0.21,0.79
P.141,Johor,P.141,Sekijang,2.527104,102.9392235,63981,57.76,36.58,4.07,0.31,0.08,0.09,1.11
P.142,Johor,P.142,Labis,2.3834121,103.0199327,49846,37.55,43.75,15.36,2.31,0.14,0.06,0.84
P.143,Johor,P.143,Pagoh,2.1494751,102.7714544,69939,66.08,29.25,3.42,0.57,0.09,0.06,0.53
P.144,Johor,P.144,Ledang,2.25,102.5833333,104577,55.29,38.55,4.89,0.44,0.1,0.06,0.66
P.145,Johor,P.145,Bakri,2.0424892,102.6539628,97335,45.39,51.62,2.12,0.01,0.15,0.13,0.58
P.146,Johor,P.146,Muar,2.0425046,102.5658852,68925,66.35,31.25,1.34,0.1,0.16,0.1,0.71
P.147,Johor,P.147,Parit Sulong,1.9759124,102.8830335,79484,80.21,18.07,0.47,0.33,0.06,0.07,0.8
P.148,Johor,P.148,Ayer Hitam,1.9181728,103.1795162,61041,57.61,37.09,4.14,0.04,0.08,0.06,0.97
P.149,Johor,P.149,Sri Gading,1.8541606,103.0304386,78602,63.69,33.83,1.37,0.04,0.12,0.08,0.86
P.150,Johor,P.150,Batu Pahat,1.933333,103,133910,52.03,44.72,1.43,0.55,0.11,0.09,1.05
P.151,Johor,P.151,Simpang Renggam,1.826736,103.308715,59033,60.53,28.69,8.63,0.14,0.2,0.14,1.68
P.152,Johor,P.152,Kluang,2.0323472,103.3190766,132342,41.23,46.06,10.43,0.1,0.39,0.64,1.15
P.153,Johor,P.153,Sembrong,1.9677552,103.3801406,54982,60.25,27.81,8.8,1.67,0.09,0.09,1.31
P.154,Johor,P.154,Mersing,2.4298532,103.835494,66275,81.18,13.74,1.18,2.11,0.54,0.5,0.74
P.155,Johor,P.155,Tenggara,1.8637505,103.6219072,67294,72.99,16.36,7.04,0.63,0.43,1.04,1.51
P.156,Johor,P.156,Kota Tinggi,1.816667,103.966667,61291,88.67,7.96,1.78,0.13,0.14,0.2,1.12
P.157,Johor,P.157,Pengerang,1.3944226,104.2154903,55316,89.38,8.06,0.75,0.4,0.34,0.35,0.73
P.158,Johor,P.158,Tebrau,1.5354668,103.7572379,223301,44.96,38.77,11.44,0.1,0.53,1.32,2.88
P.159,Johor,P.159,Pasir Gudang,1.4953437,103.9207048,198485,46.13,36.17,10.21,0.13,2.29,2.41,2.66
P.160,Johor,P.160,Johor Bahru,1.503555,103.7495586,136368,51.42,39.23,5.9,0.03,0.43,0.53,2.46
P.161,Johor,P.161,Pulai,1.5542,103.5948,165313,44.61,40.12,12.22,0.19,0.53,0.64,1.7
P.162,Johor,P.162,Iskandar Puteri,1.4522711,103.6144729,222437,36.27,47.22,14.1,0.21,0.37,0.86,0.97
P.163,Johor,P.163,Kulai,1.6666667,103.6,151247,36.96,49.21,11.58,0.02,0.5,0.53,1.21
P.164,Johor,P.164,Pontian,1.5,103.5,75212,68.25,28.03,1.06,0.61,0.1,0.11,1.84
P.165,Johor,P.165,Tanjung Piai,1.2679048,103.5086586,70679,57.02,40.05,1.02,0.04,0.18,0.16,1.54
P.166,Wilayah Persekutuan Labuan,P.166,Labuan,5.3168336,115.2198613,44484,32.73,17.01,1.22,0,41.99,2.24,4.8
P.167,Sabah,P.167,Kudat,7.2316455,117.1711562,75724,4.17,7.06,0.12,0.01,71.72,0.32,16.59
P.168,Sabah,P.168,Kota Marudu,6.4465546,116.828293,80735,2.66,2.01,0.08,0,92.41,0.31,2.53
P.169,Sabah,P.169,Kota Belud,6.3347195,116.4835961,79885,2.92,1.12,0.2,0,92.3,0.31,3.15
P.170,Sabah,P.170,Tuaran,6.0659213,116.3198111,83419,4.76,4.24,0.23,0.01,87.17,0.48,3.11
P.171,Sabah,P.171,Sepanggar,6.0679124,116.0743453,108370,12.97,17.07,0.54,0.01,61.13,0.73,7.55
P.172,Sabah,P.172,Kota Kinabalu,5.9780066,116.0728988,74059,4.21,59.9,0.98,0,29.48,0.36,5.06
P.173,Sabah,P.173,Putatan,5.8814478,116.0656182,63173,18.66,11.76,0.74,0.02,59.48,1,8.34
P.174,Sabah,P.174,Penampang,5.8626228,116.1138146,77214,4.72,26.71,0.68,0,64.06,0.97,2.86
P.175,Sabah,P.175,Papar,5.7461495,116.0449789,59942,8.92,6.29,0.3,0.01,79.46,0.67,4.37
P.176,Sabah,P.176,Kimanis,5.6150677,115.8883036,40763,9.22,2.93,0.18,0,84.48,0.59,2.6
P.177,Sabah,P.177,Beaufort,5.2911244,115.672474,43248,7.21,5.44,0.32,0.01,84.19,0.72,2.11
P.178,Sabah,P.178,Sipitang,4.634452,115.6861012,45871,8.07,3.38,0.17,0,84.5,1.9,1.97
P.179,Sabah,P.179,Ranau,5.8980313,116.6696079,66517,2.2,1.32,0.08,0.01,94.3,0.43,1.65
P.180,Sabah,P.180,Keningau,5.2179477,116.2463149,87588,5.36,7.08,0.16,0.01,84.31,0.73,2.35
P.181,Sabah,P.181,Tenom,4.9104025,115.9050951,42045,6.09,8.5,0.08,0,82.37,0.55,2.4
P.182,Sabah,P.182,Pensiangan,4.5384978,116.3117345,55672,1.51,0.94,0.05,0.01,95.68,0.35,1.46
P.183,Sabah,P.183,Beluran,6.1366933,117.3629228,44727,5.47,0.86,0.11,0,87.38,1.64,4.53
P.184,Sabah,P.184,Libaran,6.1154317,118.0218224,72332,28.03,15.12,0.31,0,46.51,1.05,8.97
P.185,Sabah,P.185,Batu Sapi,5.8037817,118.0445333,43916,14.83,26.98,0.31,0.02,50.47,0.87,6.51
P.186,Sabah,P.186,Sandakan,5.8391274,118.1158598,55542,14.39,42.37,0.64,0.01,35.66,0.79,6.13
P.187,Sabah,P.187,Kinabatangan,5.332648,118.1212915,44773,14.61,0.68,0.14,0,78.92,1.38,4.27
P.188,Sabah,P.188,Silam,4.9566648,118.164739,100256,26.42,9.14,0.42,0.01,56.03,1.18,6.8
P.189,Sabah,P.189,Semporna,4.4790765,118.4297732,72169,6.6,1.52,0.14,0.01,87.61,0.33,3.79
P.190,Sabah,P.190,Tawau,4.2435206,117.885331,87477,33.96,29.52,0.38,0,28.55,1.2,6.38
P.191,Sabah,P.191,Kalabakan,4.4808936,117.4071326,83970,49.17,8.37,0.36,0.01,32.93,2.21,6.93
P.192,Sarawak,P.192,Mas Gading,1.4166866,110.1561153,47171,5.14,17.08,0.18,0.01,0.42,76.84,0.32
P.193,Sarawak,P.193,Santubong,1.7368773,110.3325372,79540,78.03,7.92,0.09,0,0.26,13.36,0.34
P.194,Sarawak,P.194,Petra Jaya,1.5715783,110.351203,109809,69.37,13.41,0.59,0,0.33,15.91,0.38
P.195,Sarawak,P.195,Bandar Kuching,1.6346489,110.3422861,109710,4.53,85.26,0.7,0,0.24,8.73,0.55
P.196,Sarawak,P.196,Stampin,1.5078284,110.3516797,121009,14.56,61.57,0.68,0,0.3,22.56,0.32
P.197,Sarawak,P.197,Kota Samarahan,1.4596157,110.4954562,82229,55.76,13.26,0.24,0.01,0.57,29.87,0.29
P.198,Sarawak,P.198,Puncak Borneo,1.3350614,110.3048801,79969,4.8,24.91,0.18,0.01,0.33,69.49,0.28
P.199,Sarawak,P.199,Serian,1.1136159,110.6182211,65273,7.6,10.21,0.17,0,0.23,81.54,0.25
P.200,Sarawak,P.200,Batang Sadong,1.418612,110.7036751,32640,69.99,5.19,0.05,0,0.2,24.35,0.22
P.201,Sarawak,P.201,Batang Lupar,2.5023855,112.9547283,43072,70.74,2.7,0.02,0,0.15,26.03,0.36
P.202,Sarawak,P.202,Sri Aman,1.2097123,111.2866092,50164,10.31,16.81,0.06,0.02,0.32,72.17,0.32
P.203,Sarawak,P.203,Lubok Antu,1.2860121,111.8674654,28995,1.73,7.95,0.05,0,0.24,89.65,0.38
P.204,Sarawak,P.204,Betong,1.4797292,111.474787,41743,43.65,6.37,0.03,0.01,0.14,49.49,0.31
P.205,Sarawak,P.205,Saratok,1.7668371,111.4087566,44531,36.9,6.64,0.03,0,0.19,56.05,0.19
P.206,Sarawak,P.206,Tanjong Manis,2.129,111.2907,32948,23.26,6.06,0.05,0.01,0.43,69.82,0.38
P.207,Sarawak,P.207,Igan,2.8212516,111.7063114,28290,5.96,3.83,0.02,0,0.47,89.43,0.28
P.208,Sarawak,P.208,Sarikei,2.1294846,111.5230586,55018,4.56,60.65,0.03,0.01,0.2,34.32,0.22
P.209,Sarawak,P.209,Julau,1.8198041,111.8990022,34850,0.48,4.98,0.02,0.01,0.17,93.77,0.56
P.210,Sarawak,P.210,Kanowit,1.9353301,112.2098575,30988,1.74,11.53,0.02,0,0.2,86.19,0.32
P.211,Sarawak,P.211,Lanang,2.2397256,111.8478428,87356,4.23,64.96,0.05,0.01,0.45,30.07,0.23
P.212,Sarawak,P.212,Sibu,2.2906434,111.8256158,105875,10.4,62.03,0.12,0.02,0.46,26.75,0.22
P.213,Sarawak,P.213,Mukah,2.8118528,112.291206,46964,3.29,9.89,0.05,0,0.46,86.07,0.23
P.214,Sarawak,P.214,Selangau,2.4955896,112.3524958,45743,1.01,3.78,0.02,0,0.27,94.5,0.43
P.215,Sarawak,P.215,Kapit,2.0139027,112.9356766,45210,2.37,8.71,0.04,0,0.23,88.09,0.56
P.216,Sarawak,P.216,Hulu Rajang,2.2907,114.849,43438,0.98,1.81,0.03,0.02,0.42,95.97,0.77
P.217,Sarawak,P.217,Bintulu,3.1874261,113.0472803,113599,9.81,25.24,0.1,0,0.64,63.79,0.42
P.218,Sarawak,P.218,Sibuti,4.5126609,114.0146618,58522,18.39,22.84,0.17,0,0.72,57,0.88
