UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.132,Negeri Sembilan,P.132,Port Dickson,2.5262491,101.8106156,75212,42.72,33.11,21.97,0.19,0.63,0.93,0.45
P.133,Negeri Sembilan,P.133,Tampin,2.4721537,102.2323504,60765,62.83,23.55,11.82,0.14,0.38,0.99,0.29
P.134,Melaka,P.134,Masjid Tanah,2.3522253,102.1089793,51441,83.17,11.96,3.71,0.37,0.09,0.12,0.58
P.135,Melaka,P.135,Alor Gajah,2.3834528,102.2107805,70364,60.84,25.29,12.87,0.6,0.1,0.08,0.22
P.136,Melaka,P.136,Tangga Batu,2.2601,102.1523,83213,70.98,22.08,3.53,0.08,1.03,1.64,0.66
P.137,Melaka,P.137,Hang Tuah Jaya,2.2714538,102.3079538,89364,62.39,31.11,5.68,0,0.17,0.13,0.52
P.138,Melaka,P.138,Kota Melaka,2.1994594,102.2602305,126848,37.41,57.11,4.01,0.01,0.11,0.1,1.25
P.139,Melaka,P.139,Jasin,2.3058097,102.422339,73432,73.5,16.17,9.77,0.12,0.06,0.07,0.31
P.140,Johor,P.140,Segamat,2.4922852,102.8450367,55350,46.19,42.77,10.09,0.1,0.3,0.32,0.23
P.141,Johor,P.141,Sekijang,2.527104,102.9392235,45596,59.24,36.15,4,0.18,0.03,0.05,0.35
P.142,Johor,P.142,Labis,2.3834121,103.0199327,40356,37.98,44.94,14.68,2.04,0.07,0.05,0.24
P.143,Johor,P.143,Pagoh,2.1494751,102.7714544,51512,65.96,29.76,3.72,0.34,0.04,0.04,0.14
P.144,Johor,P.144,Ledang,2.25,102.5833333,77474,55.76,39.03,4.57,0.36,0.06,0.04,0.18
P.145,Johor,P.145,Bakri,2.0424892,102.6539628,73883,44.23,53.14,2.15,0,0.08,0.07,0.33
P.146,Johor,P.146,Muar,2.0425046,102.5658852,50843,66.72,31.47,1.33,0.01,0.08,0.07,0.32
P.147,Johor,P.147,Parit Sulong,1.9759124,102.8830335,59609,78.51,20.66,0.48,0.03,0.03,0.05,0.24
P.148,Johor,P.148,Ayer Hitam,1.9181728,103.1795162,46157,57.68,37.97,4.01,0,0.02,0.04,0.28
P.149,Johor,P.149,Sri Gading,1.8541606,103.0304386,52119,65,33.17,1.46,0.01,0.07,0.04,0.25
P.150,Johor,P.150,Batu Pahat,1.933333,103,98543,54.64,43.49,1.29,0.1,0.07,0.06,0.35
P.151,Johor,P.151,Simpang Renggam,1.826736,103.308715,43998,59.61,30.8,8.84,0.02,0.12,0.1,0.51
P.152,Johor,P.152,Kluang,2.0323472,103.3190766,96915,41.63,47.49,9.38,0.04,0.3,0.69,0.47
P.153,Johor,P.153,Sembrong,1.9677552,103.3801406,44137,60.44,29.15,8.66,1.31,0.04,0.04,0.36
P.154,Johor,P.154,Mersing,2.4298532,103.835494,48176,81.45,14.29,1.26,1.69,0.44,0.6,0.27
P.155,Johor,P.155,Tenggara,1.8637505,103.6219072,44749,74.68,16.13,6.58,0.56,0.4,1.13,0.52
P.156,Johor,P.156,Kota Tinggi,1.816667,103.966667,46677,88.36,9.27,1.85,0.07,0.06,0.09,0.3
P.157,Johor,P.157,Pengerang,1.3944226,104.2154903,40479,89.61,8.87,0.77,0.21,0.17,0.18,0.19
P.158,Johor,P.158,Tebrau,1.5354668,103.7572379,123033,47.19,39.36,11.54,0.08,0.27,0.67,0.89
P.159,Johor,P.159,Pasir Gudang,1.4953437,103.9207048,124172,48.89,37.03,10.45,0.08,1.34,1.41,0.8
P.160,Johor,P.160,Johor Bahru,1.503555,103.7495586,101409,52.64,41.09,5.15,0.02,0.18,0.24,0.68
P.161,Johor,P.161,Pulai,1.5542,103.5948,106268,49.06,39.2,10.28,0.17,0.3,0.36,0.63
P.162,Johor,P.162,Iskandar Puteri,1.4522711,103.6144729,138299,36.65,49.79,12.46,0.22,0.2,0.32,0.36
P.163,Johor,P.163,Kulai,1.6666667,103.6,99147,34.96,54.04,10.24,0.01,0.21,0.18,0.36
P.164,Johor,P.164,Pontian,1.5,103.5,55570,68.24,30.1,1.03,0.07,0.05,0.06,0.45
P.165,Johor,P.165,Tanjung Piai,1.2679048,103.5086586,53528,56.8,41.64,1.01,0.01,0.08,0.08,0.38
P.166,Wilayah Persekutuan Labuan,P.166,Labuan,5.3168336,115.2198613,28356,42.07,20.67,1.36,0.01,31.16,1.7,3.03
P.167,Sabah,P.167,Kudat,7.2316455,117.1711562,52251,6.39,9.4,0.15,0.01,72.53,0.3,11.22
P.168,Sabah,P.168,Kota Marudu,6.4465546,116.828293,47007,4.04,2.19,0.09,0.01,91.91,0.26,1.5
P.169,Sabah,P.169,Kota Belud,6.3347195,116.4835961,57919,4.47,1.45,0.16,0,91.78,0.24,1.9
P.170,Sabah,P.170,Tuaran,6.0659213,116.3198111,54400,5.16,5.35,0.23,0,87.12,0.38,1.76
